State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australian Capital Territory,12.200833333333334,12.324416666666666,11.297,11.940916666666666,11.710416666666667,11.494,11.391333333333334,12.230583333333334,12.558916666666669,12.184583333333334,12.178333333333333,12.379583333333334,12.40475,12.3235,12.4585,12.588,12.613583333333333,12.924916666666666,12.093583333333331,12.971416666666665,12.467083333333331,12.251666666666663,11.886166666666666
New South Wales,17.901416666666666,18.057416666666665,17.002916666666668,17.74625,17.559,17.37275,17.283583333333333,17.97308333333333,17.914833333333334,17.71741666666667,17.711583333333333,17.910416666666666,18.325083333333332,18.048916666666667,18.035083333333333,18.44425,18.334,18.553083333333333,17.666833333333333,18.77733333333333,17.60441666666667,17.75541666666667,17.600333333333335
Northern Territory,25.89333333333333,25.47208333333333,25.793000000000003,25.387416666666667,24.837,25.27658333333333,25.7665,25.080583333333333,26.202,25.178416666666667,24.53233333333333,24.520750000000003,25.38525,25.444333333333333,25.306833333333334,26.184083333333334,25.016166666666667,25.273333333333337,25.43533333333333,25.615166666666667,24.91025,24.210083333333333,24.852
Queensland,23.53791666666667,23.543666666666667,23.513666666666666,23.86025,23.217250000000003,23.71591666666667,23.6865,23.393,24.15375,23.373833333333334,23.05025,23.494083333333336,23.96166666666667,24.06108333333333,23.79358333333333,24.394416666666668,23.812916666666663,23.685916666666667,23.393916666666662,23.826000000000004,23.153,22.833166666666667,23.139916666666668
South Australia,19.974416666666663,20.20075,18.98133333333333,19.76875,19.60158333333333,19.361,19.642916666666668,19.77683333333333,19.71583333333333,19.873916666666663,19.863,19.44033333333333,19.849,19.938,19.97491666666667,20.335583333333336,20.106,20.362916666666667,19.79433333333333,20.4905,19.202416666666668,19.757583333333333,19.74575
Tasmania,11.529166666666669,11.115416666666668,10.937333333333331,11.546833333333334,11.029083333333332,10.668333333333337,10.6955,11.227,11.29675,11.867416666666664,11.869916666666668,11.822666666666668,11.703416666666667,11.6245,11.15175,11.86525,11.060333333333332,12.0905,11.398166666666668,11.810333333333332,11.766833333333333,11.583166666666664,11.78575
Victoria,14.83,14.524583333333332,13.9345,14.422583333333334,14.226833333333332,13.893083333333331,13.751416666666666,14.590833333333334,14.369083333333334,14.804166666666664,14.89575,14.77175,14.741333333333335,14.641833333333333,14.46275,14.895499999999998,14.722666666666669,15.52425,14.668916666666668,15.363666666666669,14.769083333333334,14.79375,14.757666666666664
Western Australia,23.039666666666665,23.561000000000003,22.598416666666665,22.66,23.152833333333334,22.545583333333337,23.36433333333333,22.83333333333333,23.545333333333332,22.734333333333336,22.21366666666667,22.28675,23.25766666666667,23.160666666666668,22.968000000000004,23.618666666666662,22.8715,23.22566666666667,23.149583333333336,23.47083333333333,23.37625,22.752666666666663,23.039416666666668
